"","boroname","nta_name","total_count"
"1","5"," ",4150
"2","5","Annadale-Huguenot-Prince's Bay-Eltingville",13504
"3","5","Arden Heights",7049
"4","5","Charleston-Richmond Valley-Tottenville",7169
"5","5","Grasmere-Arrochar-Ft. Wadsworth",2800
"6","5","Great Kills",9730
"7","5","Grymes Hill-Clifton-Fox Hills",2394
"8","5","Mariner's Harbor-Arlington-Port Ivory-Graniteville",2262
"9","5","New Brighton-Silver Lake",3807
"10","5","New Dorp-Midland Beach",5009
"11","5","New Springville-Bloomfield-Travis",6338
"12","5","Oakwood-Oakwood Beach",3922
"13","5","Old Town-Dongan Hills-South Beach",4507
"14","5","Port Richmond",2036
"15","5","Rossville-Woodrow",8433
"16","5","Stapleton-Rosebank",2692
"17","5","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",4814
"18","5","West New Brighton-New Brighton-St. George",2783
"19","5","Westerleigh",5026
"20","Bronx"," ",3657
"21","Bronx","Allerton-Pelham Gardens",3872
"22","Bronx","Bedford Park-Fordham North",1226
"23","Bronx","Belmont",676
"24","Bronx","Bronxdale",1377
"25","Bronx","Claremont-Bathgate",652
"26","Bronx","Co-op City",1920
"27","Bronx","Crotona Park East",630
"28","Bronx","East Concourse-Concourse Village",951
"29","Bronx","East Tremont",1496
"30","Bronx","Eastchester-Edenwald-Baychester",2014
"31","Bronx","Fordham South",412
"32","Bronx","Highbridge",583
"33","Bronx","Hunts Point",1274
"34","Bronx","Kingsbridge Heights",654
"35","Bronx","Longwood",886
"36","Bronx","Marble Hill-Inwood",338
"37","Bronx","Melrose South-Mott Haven North",733
"38","Bronx","Morrisania-Melrose",903
"39","Bronx","Mott Haven-Port Morris",862
"40","Bronx","Mount Hope",1002
"41","Bronx","North Riverdale-Fieldston-Riverdale",3138
"42","Bronx","Norwood",1366
"43","Bronx","park-cemetery-etc-Bronx",127
"44","Bronx","Parkchester",433
"45","Bronx","Pelham Bay-Country Club-City Island",3038
"46","Bronx","Pelham Parkway",1811
"47","Bronx","Schuylerville-Throgs Neck-Edgewater Park",3684
"48","Bronx","Soundview-Bruckner",1150
"49","Bronx","Soundview-Castle Hill-Clason Point-Harding Park",2127
"50","Bronx","Spuyten Duyvil-Kingsbridge",1737
"51","Bronx","University Heights-Morris Heights",1153
"52","Bronx","Van Cortlandt Village",1739
"53","Bronx","Van Nest-Morris Park-Westchester Square",1971
"54","Bronx","West Concourse",902
"55","Bronx","West Farms-Bronx River",865
"56","Bronx","Westchester-Unionport",1233
"57","Bronx","Williamsbridge-Olinville",2331
"58","Bronx","Woodlawn-Wakefield",3836
"59","Brooklyn"," ",3286
"60","Brooklyn","Bath Beach",1272
"61","Brooklyn","Bay Ridge",6338
"62","Brooklyn","Bedford",2144
"63","Brooklyn","Bensonhurst East",2615
"64","Brooklyn","Bensonhurst West",3723
"65","Brooklyn","Borough Park",5073
"66","Brooklyn","Brighton Beach",1047
"67","Brooklyn","Brooklyn Heights-Cobble Hill",2051
"68","Brooklyn","Brownsville",2075
"69","Brooklyn","Bushwick North",1376
"70","Brooklyn","Bushwick South",2977
"71","Brooklyn","Canarsie",6437
"72","Brooklyn","Carroll Gardens-Columbia Street-Red Hook",3411
"73","Brooklyn","Clinton Hill",1743
"74","Brooklyn","Crown Heights North",4343
"75","Brooklyn","Crown Heights South",2199
"76","Brooklyn","Cypress Hills-City Line",1614
"77","Brooklyn","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",3070
"78","Brooklyn","Dyker Heights",3568
"79","Brooklyn","East Flatbush-Farragut",2808
"80","Brooklyn","East New York",3589
"81","Brooklyn","East New York (Pennsylvania Ave)",1382
"82","Brooklyn","East Williamsburg",1556
"83","Brooklyn","Erasmus",812
"84","Brooklyn","Flatbush",5910
"85","Brooklyn","Flatlands",5144
"86","Brooklyn","Fort Greene",1371
"87","Brooklyn","Georgetown-Marine Park-Bergen Beach-Mill Basin",6730
"88","Brooklyn","Gravesend",1108
"89","Brooklyn","Greenpoint",2582
"90","Brooklyn","Homecrest",3123
"91","Brooklyn","Hunters Point-Sunnyside-West Maspeth",1
"92","Brooklyn","Kensington-Ocean Parkway",2002
"93","Brooklyn","Madison",3146
"94","Brooklyn","Midwood",4785
"95","Brooklyn","North Side-South Side",2156
"96","Brooklyn","Ocean Hill",875
"97","Brooklyn","Ocean Parkway South",2281
