"","boroname","spc_common","total_count"
"1","5","ALDER, EUROPEAN",2
"2","5","AMUR CORKTREE",3
"3","5","APPLE",21
"4","5","ARBORVITAE, EASTERN",7
"5","5","ASH, GREEN",3629
"6","5","ASH, OTHER",62
"7","5","ASH, WHITE",29
"8","5","BALDCYPRESS",245
"9","5","BEECH, AMERICAN",4
"10","5","BEECH, EUROPEAN",5
"11","5","BIRCH, EUROPEAN WHITE",4
"12","5","BIRCH, OTHER",225
"13","5","BIRCH, PAPER",1
"14","5","BIRCH, RIVER",6
"15","5","BLACK LOCUST",343
"16","5","BLACKGUM",4
"17","5","BOXELDER",7
"18","5","CATALPA",16
"19","5","CEDAR, ATLAS",19
"20","5","CEDAR, DEODAR",1
"21","5","CHERRY, BLACK",40
"22","5","CHERRY, CORNELIAN",4
"23","5","CHERRY, KWANZAN",12
"24","5","CHERRY, OTHER",1868
"25","5","CHOKECHERRY, SHUBERT",283
"26","5","COMMON PEAR",1
"27","5","CORKSCREW WILLOW",1
"28","5","COTTONWOOD, EASTERN",2
"29","5","CRABAPPLE",269
"30","5","DAWN REDWOOD",114
"31","5","DOGWOOD SPP.",10
"32","5","DOGWOOD, FLOWERING",385
"33","5","DOGWOOD, KOUSA",9
"34","5","DOUGLAS FIR",9
"35","5","DROOPING JUNIPER",4
"36","5","EASTERN HOP HORNBEAM",3
"37","5","EASTERN REDCEDAR",36
"38","5","ELM, AMERICAN",306
"39","5","ELM, CHINESE",302
"40","5","ELM, ENGLISH",1
"41","5","ELM, OTHER",42
"42","5","ELM, SIBERIAN",9
"43","5","ELM, SLIPPERY",18
"44","5","FALSECYPRESS, JAPANESE",1
"45","5","FIR, BALSAM",3
"46","5","GINKGO",581
"47","5","GOLDENRAIN TREE",87
"48","5","HACKBERRY",333
"49","5","HARDY RUBBER TREE",1
"50","5","HAWTHORN, OTHER",105
"51","5","HEMLOCK, EASTERN",15
"52","5","HICKORY",8
"53","5","HICKORY, PIGNUT",3
"54","5","HICKORY, SHAGBARK",1
"55","5","HOLLY SPECIES",15
"56","5","HONEYLOCUST",3472
"57","5","HORNBEAM, AMERICAN",9
"58","5","HORNBEAM, EUROPEAN",71
"59","5","HORSECHESTNUT",196
"60","5","HORSECHESTNUT, RED",1
"61","5","JAPANESE PAGODA TREE",271
"62","5","JAPANESE TREE LILAC",161
"63","5","JUNIPER SPP.",1
"64","5","KATSURA TREE",54
"65","5","KENTUCKY COFFEETREE",68
"66","5","LARCH",1
"67","5","LINDEN, AMERICAN",413
"68","5","LINDEN, LITTLE LEAF",1676
"69","5","LINDEN, OTHER",24
"70","5","LINDEN, SILVER",242
"71","5","LONDON PLANETREE",9438
"72","5","MAACKIA,AMUR",13
"73","5","MAGNOLIA, OTHER",174
