"","borough","nta_name","total_count"
"1","Bronx","Allerton-Pelham Gardens",3588
"2","Bronx","Bedford Park-Fordham North",1716
"3","Bronx","Belmont",1518
"4","Bronx","Bronxdale",1404
"5","Bronx","Claremont-Bathgate",1595
"6","Bronx","Co-op City",1790
"7","Bronx","Crotona Park East",1448
"8","Bronx","East Concourse-Concourse Village",2269
"9","Bronx","East Tremont",2418
"10","Bronx","Eastchester-Edenwald-Baychester",2412
"11","Bronx","Fordham South",1000
"12","Bronx","Highbridge",1756
"13","Bronx","Hunts Point",3283
"14","Bronx","Kingsbridge Heights",1096
"15","Bronx","Longwood",1453
"16","Bronx","Marble Hill-Inwood",3
"17","Bronx","Melrose South-Mott Haven North",1976
"18","Bronx","Morrisania-Melrose",2150
"19","Bronx","Mott Haven-Port Morris",2350
"20","Bronx","Mount Hope",1908
"21","Bronx","North Riverdale-Fieldston-Riverdale",1906
"22","Bronx","Norwood",1863
"23","Bronx","Parkchester",770
"24","Bronx","Pelham Bay-Country Club-City Island",3061
"25","Bronx","Pelham Parkway",2165
"26","Bronx","Schuylerville-Throgs Neck-Edgewater Park",4732
"27","Bronx","Soundview-Bruckner",1861
"28","Bronx","Soundview-Castle Hill-Clason Point-Harding Park",3621
"29","Bronx","Spuyten Duyvil-Kingsbridge",1829
"30","Bronx","University Heights-Morris Heights",1834
"31","Bronx","Van Cortlandt Village",2247
"32","Bronx","Van Nest-Morris Park-Westchester Square",2967
"33","Bronx","West Concourse",1948
"34","Bronx","West Farms-Bronx River",1524
"35","Bronx","Westchester-Unionport",2697
"36","Bronx","Williamsbridge-Olinville",3188
"37","Bronx","Woodlawn-Wakefield",3913
"38","Brooklyn","Bath Beach",1740
"39","Brooklyn","Bay Ridge",6685
"40","Brooklyn","Bedford",3573
"41","Brooklyn","Bensonhurst East",3225
"42","Brooklyn","Bensonhurst West",4079
"43","Brooklyn","Borough Park",5692
"44","Brooklyn","Brighton Beach",1158
"45","Brooklyn","Brooklyn Heights-Cobble Hill",1695
"46","Brooklyn","Brownsville",2913
"47","Brooklyn","Bushwick North",3228
"48","Brooklyn","Bushwick South",4332
"49","Brooklyn","Canarsie",5581
"50","Brooklyn","Carroll Gardens-Columbia Street-Red Hook",4138
"51","Brooklyn","Clinton Hill",2887
"52","Brooklyn","Crown Heights North",6136
"53","Brooklyn","Crown Heights South",2036
"54","Brooklyn","Cypress Hills-City Line",3450
"55","Brooklyn","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill",2763
"56","Brooklyn","Dyker Heights",3037
"57","Brooklyn","East Flatbush-Farragut",2873
"58","Brooklyn","East New York",9097
"59","Brooklyn","East New York (Pennsylvania Ave)",2874
"60","Brooklyn","East Williamsburg",2176
"61","Brooklyn","Erasmus",1327
"62","Brooklyn","Flatbush",5872
"63","Brooklyn","Flatlands",5300
"64","Brooklyn","Fort Greene",2065
"65","Brooklyn","Georgetown-Marine Park-Bergen Beach-Mill Basin",7189
"66","Brooklyn","Gravesend",1297
"67","Brooklyn","Greenpoint",3261
"68","Brooklyn","Homecrest",4044
"69","Brooklyn","Kensington-Ocean Parkway",2180
"70","Brooklyn","Madison",3428
"71","Brooklyn","Midwood",4652
"72","Brooklyn","North Side-South Side",3255
"73","Brooklyn","Ocean Hill",2251
"74","Brooklyn","Ocean Parkway South",2459
"75","Brooklyn","Ozone Park",9
