"","borough","spc_common","total_count"
"1","Bronx","'Schubert' chokecherry",567
"2","Bronx","American beech",31
"3","Bronx","American elm",1424
"4","Bronx","American hophornbeam",184
"5","Bronx","American hornbeam",293
"6","Bronx","American larch",12
"7","Bronx","American linden",2099
"8","Bronx","Amur cork tree",32
"9","Bronx","Amur maackia",465
"10","Bronx","Amur maple",425
"11","Bronx","arborvitae",25
"12","Bronx","ash",282
"13","Bronx","Atlantic white cedar",53
"14","Bronx","Atlas cedar",6
"15","Bronx","bald cypress",85
"16","Bronx","bigtooth aspen",7
"17","Bronx","black cherry",64
"18","Bronx","black locust",348
"19","Bronx","black maple",13
"20","Bronx","black oak",217
"21","Bronx","black pine",2
"22","Bronx","black walnut",43
"23","Bronx","blackgum",28
"24","Bronx","blue spruce",16
"25","Bronx","boxelder",17
"26","Bronx","bur oak",80
"27","Bronx","Callery pear",4845
"28","Bronx","catalpa",133
"29","Bronx","cherry",4058
"30","Bronx","Chinese chestnut",19
"31","Bronx","Chinese elm",1305
"32","Bronx","Chinese fringetree",31
"33","Bronx","Chinese tree lilac",53
"34","Bronx","cockspur hawthorn",54
"35","Bronx","common hackberry",788
"36","Bronx","Cornelian cherry",168
"37","Bronx","crab apple",505
"38","Bronx","crepe myrtle",45
"39","Bronx","crimson king maple",195
"40","Bronx","cucumber magnolia",19
"41","Bronx","dawn redwood",385
"42","Bronx","Douglas-fir",8
"43","Bronx","eastern cottonwood",56
"44","Bronx","eastern hemlock",7
"45","Bronx","eastern redbud",620
"46","Bronx","eastern redcedar",155
"47","Bronx","empress tree",57
"48","Bronx","English oak",221
"49","Bronx","European alder",6
"50","Bronx","European beech",14
"51","Bronx","European hornbeam",443
"52","Bronx","false cypress",13
"53","Bronx","flowering dogwood",149
"54","Bronx","ginkgo",2629
"55","Bronx","golden raintree",512
"56","Bronx","green ash",1843
"57","Bronx","hardy rubber tree",100
"58","Bronx","hawthorn",467
"59","Bronx","hedge maple",794
"60","Bronx","Himalayan cedar",1
"61","Bronx","holly",11
"62","Bronx","honeylocust",9512
"63","Bronx","horse chestnut",98
"64","Bronx","Japanese hornbeam",74
"65","Bronx","Japanese maple",84
"66","Bronx","Japanese snowbell",55
"67","Bronx","Japanese tree lilac",578
"68","Bronx","Japanese zelkova",4559
"69","Bronx","katsura tree",143
"70","Bronx","Kentucky coffeetree",446
"71","Bronx","Kentucky yellowwood",87
"72","Bronx","kousa dogwood",41
"73","Bronx","littleleaf linden",3866
"74","Bronx","London planetree",7302
"75","Bronx","magnolia",62
"76","Bronx","maple",993
"77","Bronx","mimosa",17
"78","Bronx","mulberry",153
"79","Bronx","northern red oak",1470
"80","Bronx","Norway maple",3343
"81","Bronx","Norway spruce",37
"82","Bronx","Ohio buckeye",6
"83","Bronx","Oklahoma redbud",47
"84","Bronx","Osage-orange",3
"85","Bronx","pagoda dogwood",18
"86","Bronx","paper birch",61
"87","Bronx","paperbark maple",35
"88","Bronx","Persian ironwood",29
"89","Bronx","pignut hickory",7
"90","Bronx","pin oak",6353
"91","Bronx","pine",19
"92","Bronx","pitch pine",3
"93","Bronx","pond cypress",30
"94","Bronx","purple-leaf plum",766
"95","Bronx","quaking aspen",5
"96","Bronx","red horse chestnut",12
"97","Bronx","red maple",2177
"98","Bronx","red pine",10
"99","Bronx","river birch",54
"100","Bronx","sassafras",14
"101","Bronx","sawtooth oak",354
"102","Bronx","scarlet oak",289
"103","Bronx","Schumard's oak",260
"104","Bronx","Scots pine",2
"105","Bronx","serviceberry",301
"106","Bronx","Shantung maple",9
"107","Bronx","shingle oak",176
"108","Bronx","Siberian elm",391
"109","Bronx","silver birch",41
"110","Bronx","silver linden",649
"111","Bronx","silver maple",657
"112","Bronx","smoketree",3
"113","Bronx","Sophora",2508
"114","Bronx","southern magnolia",19
"115","Bronx","southern red oak",10
"116","Bronx","spruce",9
"117","Bronx","sugar maple",356
"118","Bronx","swamp white oak",819
"119","Bronx","sweetgum",891
"120","Bronx","sycamore maple",245
"121","Bronx","tartar maple",42
"122","Bronx","tree of heaven",81
"123","Bronx","trident maple",7
"124","Bronx","tulip-poplar",62
"125","Bronx","Turkish hazelnut",54
"126","Bronx","two-winged silverbell",25
"127","Bronx","Virginia pine",1
"128","Bronx","weeping willow",27
"129","Bronx","white ash",173
"130","Bronx","white oak",197
"131","Bronx","white pine",17
"132","Bronx","willow oak",488
"133","Brooklyn","'Schubert' chokecherry",1292
"134","Brooklyn","American beech",81
"135","Brooklyn","American elm",2556
"136","Brooklyn","American hophornbeam",359
"137","Brooklyn","American hornbeam",343
"138","Brooklyn","American larch",8
"139","Brooklyn","American linden",3997
"140","Brooklyn","Amur cork tree",45
"141","Brooklyn","Amur maackia",728
"142","Brooklyn","Amur maple",262
"143","Brooklyn","arborvitae",68
"144","Brooklyn","ash",369
"145","Brooklyn","Atlantic white cedar",93
"146","Brooklyn","Atlas cedar",34
"147","Brooklyn","bald cypress",643
"148","Brooklyn","bigtooth aspen",23
"149","Brooklyn","black cherry",150
"150","Brooklyn","black locust",436
"151","Brooklyn","black maple",30
"152","Brooklyn","black oak",430
"153","Brooklyn","black pine",5
"154","Brooklyn","black walnut",80
"155","Brooklyn","blackgum",123
"156","Brooklyn","blue spruce",19
"157","Brooklyn","boxelder",14
"158","Brooklyn","bur oak",157
"159","Brooklyn","Callery pear",9039
"160","Brooklyn","catalpa",73
"161","Brooklyn","cherry",5662
"162","Brooklyn","Chinese chestnut",54
"163","Brooklyn","Chinese elm",1585
"164","Brooklyn","Chinese fringetree",53
"165","Brooklyn","Chinese tree lilac",91
"166","Brooklyn","cockspur hawthorn",69
"167","Brooklyn","common hackberry",601
"168","Brooklyn","Cornelian cherry",251
"169","Brooklyn","crab apple",621
"170","Brooklyn","crepe myrtle",64
"171","Brooklyn","crimson king maple",992
"172","Brooklyn","cucumber magnolia",48
"173","Brooklyn","dawn redwood",1121
"174","Brooklyn","Douglas-fir",29
"175","Brooklyn","eastern cottonwood",40
"176","Brooklyn","eastern hemlock",33
"177","Brooklyn","eastern redbud",791
"178","Brooklyn","eastern redcedar",283
"179","Brooklyn","empress tree",36
"180","Brooklyn","English oak",556
"181","Brooklyn","European alder",10
"182","Brooklyn","European beech",41
"183","Brooklyn","European hornbeam",492
"184","Brooklyn","false cypress",35
"185","Brooklyn","flowering dogwood",359
"186","Brooklyn","ginkgo",5563
"187","Brooklyn","golden raintree",938
"188","Brooklyn","green ash",3783
"189","Brooklyn","hardy rubber tree",375
"190","Brooklyn","hawthorn",589
"191","Brooklyn","hedge maple",572
"192","Brooklyn","Himalayan cedar",14
"193","Brooklyn","holly",35
"194","Brooklyn","honeylocust",16775
"195","Brooklyn","horse chestnut",222
"196","Brooklyn","Japanese hornbeam",148
"197","Brooklyn","Japanese maple",114
"198","Brooklyn","Japanese snowbell",87
"199","Brooklyn","Japanese tree lilac",995
"200","Brooklyn","Japanese zelkova",9587
"201","Brooklyn","katsura tree",264
"202","Brooklyn","Kentucky coffeetree",1168
"203","Brooklyn","Kentucky yellowwood",123
"204","Brooklyn","kousa dogwood",72
"205","Brooklyn","littleleaf linden",8857
"206","Brooklyn","London planetree",34741
"207","Brooklyn","magnolia",83
