date,jackpot,mega_ball,multiplier,winning_nums
"Tuesday, August 8, 2017",$350 Million,14,2,11 · 17 · 50 · 52 · 74
"Friday, August 4, 2017",$323 Million,04,5,09 · 17 · 25 · 63 · 71
"Tuesday, August 1, 2017",$303 Million,07,5,20 · 22 · 52 · 57 · 73
"Friday, July 28, 2017",$282 Million,11,3,04 · 06 · 31 · 49 · 52
"Tuesday, July 25, 2017",$262 Million,06,3,02 · 05 · 26 · 58 · 60
"Friday, July 21, 2017",$248 Million,10,4,18 · 31 · 36 · 50 · 74
"Tuesday, July 18, 2017",$232 Million,06,4,08 · 12 · 23 · 51 · 73
"Friday, July 14, 2017",$217 Million,01,4,11 · 12 · 24 · 32 · 73
"Tuesday, July 11, 2017",$202 Million,10,2,07 · 18 · 24 · 55 · 74
"Friday, July 7, 2017",$186 Million,10,5,02 · 09 · 11 · 28 · 60
"Tuesday, July 4, 2017",$172 Million,15,4,16 · 39 · 47 · 53 · 71
"Friday, June 30, 2017",$158 Million,06,5,10 · 38 · 51 · 55 · 64
"Tuesday, June 27, 2017",$145 Million,14,4,04 · 21 · 45 · 52 · 57
"Friday, June 23, 2017",$134 Million,11,2,12 · 20 · 53 · 66 · 74
"Tuesday, June 20, 2017",$123 Million,03,3,02 · 15 · 41 · 49 · 63
"Friday, June 16, 2017",$113 Million,09,5,18 · 22 · 26 · 30 · 44
"Tuesday, June 13, 2017",$101 Million,08,3,27 · 51 · 62 · 68 · 75
"Friday, June 9, 2017",$90 Million,09,5,03 · 16 · 28 · 33 · 37
"Tuesday, June 6, 2017",$80 Million,05,3,03 · 05 · 16 · 49 · 75
"Friday, June 2, 2017",$74 Million,10,3,07 · 42 · 57 · 69 · 72
"Tuesday, May 30, 2017",$65 Million,05,5,05 · 20 · 32 · 37 · 67
"Friday, May 26, 2017",$58 Million,05,3,25 · 26 · 28 · 37 · 56
"Tuesday, May 23, 2017",$50 Million,14,2,06 · 13 · 17 · 33 · 60
"Friday, May 19, 2017",$43 Million,01,3,01 · 04 · 05 · 24 · 30
"Tuesday, May 16, 2017",$36 Million,11,5,04 · 35 · 39 · 56 · 72
"Friday, May 12, 2017",$30 Million,13,4,28 · 34 · 41 · 42 · 47
"Tuesday, November 7, 2017",$59 Million,11,4,01 · 54 · 60 · 68 · 69
"Friday, November 3, 2017",$48 Million,03,2,10 · 22 · 42 · 61 · 69
"Tuesday, October 31, 2017",$40 Million,12,4,06 · 28 · 31 · 52 · 53
"Friday, October 27, 2017",$30 Million,13,5,17 · 27 · 41 · 51 · 52
"Tuesday, October 24, 2017",$25 Million,06,4,20 · 24 · 34 · 56 · 64
"Friday, October 20, 2017",$20 Million,09,2,06 · 23 · 63 · 66 · 73
"Tuesday, October 17, 2017",$15 Million,11,5,31 · 45 · 49 · 56 · 70
"Friday, October 13, 2017",$43 Million,12,2,02 · 07 · 18 · 26 · 31
"Tuesday, October 10, 2017",$36 Million,02,5,07 · 16 · 24 · 61 · 62
"Friday, October 6, 2017",$30 Million,12,5,21 · 33 · 36 · 45 · 56
"Tuesday, October 3, 2017",$25 Million,07,5,12 · 18 · 19 · 25 · 67
"Friday, September 29, 2017",$20 Million,07,5,25 · 51 · 62 · 73 · 74
"Tuesday, September 26, 2017",$15 Million,04,4,01 · 10 · 57 · 66 · 75
"Friday, September 22, 2017",$104 Million,15,5,05 · 39 · 54 · 63 · 66
"Tuesday, September 19, 2017",$94 Million,10,2,09 · 28 · 31 · 50 · 61
"Friday, September 15, 2017",$86 Million,03,4,18 · 24 · 34 · 38 · 58
"Tuesday, September 12, 2017",$76 Million,03,4,26 · 37 · 41 · 54 · 65
"Friday, September 8, 2017",$70 Million,14,3,04 · 05 · 14 · 26 · 73
"Tuesday, September 5, 2017",$61 Million,01,3,11 · 17 · 59 · 70 · 72
"Friday, September 1, 2017",$53 Million,12,5,04 · 13 · 31 · 50 · 64
"Tuesday, August 29, 2017",$45 Million,03,3,02 · 13 · 17 · 35 · 73
"Friday, August 25, 2017",$37 Million,11,5,17 · 38 · 42 · 51 · 65
"Tuesday, August 22, 2017",$25 Million,07,4,24 · 35 · 46 · 50 · 51
"Friday, August 18, 2017",$20 Million,06,3,01 · 31 · 34 · 40 · 75
"Tuesday, August 15, 2017",$15 Million,07,2,07 · 16 · 20 · 66 · 73
"Friday, August 11, 2017",$393 Million,06,5,23 · 33 · 53 · 56 · 58
"Tuesday, February 6, 2018",$120 Million,25,3,14 · 17 · 25 · 48 · 58
"Friday, February 2, 2018",$104 Million,04,3,01 · 04 · 14 · 17 · 40
"Tuesday, January 30, 2018",$89 Million,24,3,29 · 41 · 42 · 49 · 57
"Friday, January 26, 2018",$76 Million,01,4,10 · 16 · 27 · 38 · 43
"Tuesday, January 23, 2018",$63 Million,07,4,02 · 06 · 30 · 31 · 55
"Friday, January 19, 2018",$55 Million,23,3,03 · 17 · 23 · 49 · 66
"Tuesday, January 16, 2018",$50 Million,18,3,03 · 11 · 23 · 29 · 59
"Friday, January 12, 2018",$45 Million,24,4,17 · 18 · 33 · 46 · 60
"Tuesday, January 9, 2018",$40 Million,23,3,16 · 29 · 31 · 65 · 67
"Friday, January 5, 2018",$451 Million,10,3,28 · 30 · 39 · 59 · 70
"Tuesday, January 2, 2018",$361 Million,22,4,01 · 42 · 47 · 64 · 70
"Friday, December 29, 2017",$306 Million,07,2,04 · 10 · 18 · 28 · 62
"Tuesday, December 26, 2017",$277 Million,25,4,10 · 12 · 20 · 38 · 41
"Friday, December 22, 2017",$253 Million,16,4,01 · 20 · 30 · 33 · 42
"Tuesday, December 19, 2017",$223 Million,02,3,28 · 37 · 39 · 42 · 58
"Friday, December 15, 2017",$208 Million,19,4,04 · 12 · 36 · 44 · 57
"Tuesday, December 12, 2017",$191 Million,09,2,08 · 23 · 24 · 25 · 27
"Friday, December 8, 2017",$176 Million,24,2,06 · 37 · 46 · 60 · 70
"Tuesday, December 5, 2017",$160 Million,22,4,14 · 15 · 37 · 42 · 67
"Friday, December 1, 2017",$145 Million,08,4,16 · 22 · 40 · 41 · 59
"Tuesday, November 28, 2017",$132 Million,05,2,10 · 17 · 47 · 51 · 61
"Friday, November 24, 2017",$119 Million,22,3,16 · 36 · 54 · 61 · 64
"Tuesday, November 21, 2017",$106 Million,03,3,03 · 07 · 22 · 27 · 50
"Friday, November 17, 2017",$95 Million,15,4,03 · 26 · 55 · 58 · 70
"Tuesday, November 14, 2017",$82 Million,19,3,01 · 14 · 21 · 22 · 28
"Friday, November 10, 2017",$71 Million,24,2,06 · 23 · 38 · 42 · 58
"Tuesday, May 8, 2018",$40 Million,13,2,08 · 15 · 39 · 64 · 67
"Friday, May 4, 2018",$143 Million,21,4,04 · 05 · 10 · 12 · 18
