ca_amt1,ca_amt2,ca_amt3,ca_amt4,ca_amt5,ca_amt6,ca_amt7,ca_amt8,ca_amt_tot,ca_num1,ca_num2,ca_num3,ca_num4,ca_num5,ca_num6,ca_num7,ca_num8,ca_num_tot,ca_type1,ca_type2,ca_type3,ca_type4,ca_type5,ca_type6,ca_type7,ca_type8,detail_date,j_amt,j_num,j_type,j_winner,s_winner,state_amt1,state_amt2,state_amt3,state_amt4,state_amt5,state_amt6,state_amt7,state_amt8,state_amt_tot,state_num1,state_num2,state_num3,state_num4,state_num5,state_num6,state_num7,state_num8,state_num_tot,state_type1,state_type2,state_type3,state_type4,state_type5,state_type6,state_type7,state_type8,,,,
"$215,047 ","$16,436 ","$23,001 ","$11,200 ","$25,299 ","$27,870 ","$83,338 ","$114,953 ","$517,144 ",1,4,41,224,"2,811","4,645","41,669","114,953","164,348",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, August 16, 2016",$0 ,0,5 + 1 (Jackpot), ," 1 from California, 1 from Vermont","$1,000,000 ","$75,000 ","$88,000 ","$50,350 ","$77,275 ","$126,295 ","$455,260 ","$633,028 ","$2,505,208 ",1,15,176,"1,007","15,455","25,259","227,630","633,028","902,571",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,1,"$1,000,000 ",5 + 0,"$1,000,000 "
$0 ,"$15,064 ","$21,090 ","$10,350 ","$23,656 ","$28,926 ","$79,922 ","$102,432 ","$281,440 ",0,2,37,207,"2,957","4,821","39,961","102,432","150,417",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, November 15, 2016",$0 ,0,5 + 1 (Jackpot), , 1 from Wisconsin,"$1,000,000 ","$100,000 ","$122,000 ","$63,650 ","$88,995 ","$141,680 ","$462,588 ","$589,139 ","$2,568,052 ",1,20,244,"1,273","17,799","28,336","231,294","589,139","868,106",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,15,"$75,000 ",4 + 1,"$5,000 "
$0 ,"$14,661 ","$20,510 ","$9,945 ","$20,986 ","$24,960 ","$79,784 ","$101,903 ","$272,749 ",0,3,35,195,"2,998","4,992","39,892","101,903","150,018",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, February 14, 2017",$0 ,0,5 + 1 (Jackpot), , 1 from Ohio,"$1,000,000 ","$90,000 ","$111,000 ","$59,150 ","$86,485 ","$146,815 ","$467,884 ","$588,605 ","$2,549,939 ",1,18,222,"1,183","17,297","29,363","233,942","588,605","870,631",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,176,"$88,000 ",4 + 0,$500 
$0 ,"$13,546 ","$18,960 ","$9,204 ","$20,592 ","$23,976 ","$70,680 ","$95,494 ","$252,452 ",0,2,40,156,"2,288","3,996","35,340","95,494","137,316",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, May 16, 2017",$0 ,0,5 + 1 (Jackpot), , 1 from Wisconsin,"$1,000,000 ","$75,000 ","$80,000 ","$49,550 ","$65,630 ","$115,370 ","$409,896 ","$559,291 ","$2,354,737 ",1,15,160,991,"13,126","23,074","204,948","559,291","801,606",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"1,007","$50,350 ",3 + 1,$50 
$0 ,"$17,086 ","$23,923 ","$11,592 ","$24,824 ","$32,180 ","$52,727 ","$127,530 ","$289,862 ",0,1,47,276,"3,103","6,436","52,727","127,530","190,120",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, August 15, 2017",$0 ,0,5 + 1 (Jackpot), , ,$0 ,"$90,000 ","$125,500 ","$76,950 ","$93,505 ","$183,990 ","$607,736 ","$751,403 ","$1,929,084 ",0,18,251,"1,539","18,701","36,798","303,868","751,403","1,112,578",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"15,455","$77,275 ",3 + 0,$5 
$0 ,"$14,100 ","$15,822 ","$17,978 ","$20,979 ","$17,420 ","$51,908 ","$63,044 ","$201,251 ",0,2,54,89,"2,997","1,742","12,977","31,522","49,383",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, November 14, 2017",$0 ,0,5 + 1 (Jackpot), ," 1 from Georgia, 1 from Illinois","$2,000,000 ","$70,000 ","$217,000 ","$103,400 ","$200,880 ","$103,490 ","$312,896 ","$371,700 ","$3,379,366 ",2,7,434,517,"20,088","10,349","78,224","185,850","295,471",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"25,259","$126,295 ",2 + 1,$5 
$0 ,$0 ,"$21,900 ","$24,864 ","$26,896 ","$24,435 ","$80,400 ","$93,816 ","$272,311 ",0,0,60,111,"3,362","2,715","20,100","46,908","73,256",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, February 13, 2018",$0 ,0,5 + 1 (Jackpot), ," 1 from Kentucky, 1 from Michigan, 1 from New York","$3,000,000 ","$130,000 ","$133,000 ","$158,600 ","$188,310 ","$155,400 ","$460,724 ","$532,720 ","$4,758,754 ",3,13,266,793,"18,831","15,540","115,181","266,360","416,987",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"227,630","$455,260 ",1 + 1,$2 
"$156,458 ","$42,670 ","$28,350 ","$32,224 ","$68,744 ","$32,472 ","$46,032 ","$85,174 ","$492,124 ",1,1,150,212,"8,593","3,608","23,016","42,587","78,168",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, November 24, 2009",$0 ,0,5 + 1 (Jackpot), ," 1 from California, 1 from Georgia, 2 from Illinois, 1 from New Jersey, 1 from New York","$1,250,000 ","$210,000 ","$143,850 ","$174,750 ","$203,240 ","$352,289 ","$372,054 ","$456,104 ","$3,162,287 ",5,21,959,"1,165","20,324","50,327","124,018","228,052","424,871",5 + 0,4 + 1,4 + 0,3 + 1,2 + 1,3 + 0,1 + 1,0 + 1,"633,028","$633,028 ",0 + 1,$1 
"$215,488 ","$58,765 ","$38,936 ","$44,402 ","$93,480 ","$46,220 ","$89,226 ","$113,478 ","$699,995 ",1,5,248,298,"11,685","4,622","29,742","56,739","103,340",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, February 23, 2010",$0 ,0,5 + 1 (Jackpot), ," 1 from California, 1 from Georgia, 1 from Maryland, 2 from Michigan, 1 from New Jersey, 1 from New York, 1 from Ohio, 2 from Texas, 2 from Virginia","$2,750,000 ","$200,000 ","$194,850 ","$232,200 ","$248,940 ","$453,670 ","$464,625 ","$595,226 ","$5,139,511 ",11,20,"1,299","1,548","24,894","64,810","154,875","297,613","545,070",5 + 0,4 + 1,4 + 0,3 + 1,2 + 1,3 + 0,1 + 1,0 + 1,"902,571","$2,505,208 ",,
"$233,440 ","$63,660 ","$42,336 ","$48,195 ","$101,286 ","$48,664 ","$101,217 ","$115,376 ","$754,174 ",4,12,378,459,"16,881","6,083","33,739","57,688","115,244",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Tuesday, May 25, 2010","$64,000,000 ",1,5 + 1 (Jackpot), 1 from New York," 1 from Arkansas, 4 from California, 1 from Connecticut, 1 from Kansas, 1 from New Jersey, 3 from New York, 2 from North Carolina, 2 from Ohio, 1 from Texas","$3,000,000 ","$580,000 ","$288,600 ","$340,050 ","$302,240 ","$570,556 ","$465,438 ","$519,502 ","$6,066,386 ",12,58,"1,924","2,267","30,224","81,508","155,146","259,751","530,890",5 + 0,4 + 1,4 + 0,3 + 1,2 + 1,3 + 0,1 + 1,0 + 1,,,,
