date,jackpot,power_ball,power_play,winning_nums
"Wednesday, February 7, 2018",$165 Million,10,2,23 · 34 · 35 · 40 · 47
"Saturday, February 3, 2018",$145 Million,06,2,15 · 23 · 27 · 48 · 53
"Wednesday, January 31, 2018",$127 Million,22,10,04 · 07 · 14 · 46 · 59
"Saturday, January 27, 2018",$112 Million,07,2,17 · 21 · 26 · 47 · 54
"Wednesday, January 24, 2018",$92 Million,21,3,05 · 09 · 11 · 33 · 64
"Saturday, January 20, 2018",$78 Million,03,4,26 · 28 · 47 · 49 · 58
"Wednesday, January 17, 2018",$62 Million,21,2,03 · 33 · 37 · 51 · 57
"Saturday, January 13, 2018",$50 Million,24,2,14 · 25 · 35 · 58 · 69
"Wednesday, January 10, 2018",$40 Million,04,5,07 · 24 · 33 · 49 · 50
"Saturday, January 6, 2018",$559.7 Million,26,3,12 · 29 · 30 · 33 · 61
"Wednesday, January 3, 2018",$460.9 Million,12,3,02 · 18 · 37 · 39 · 42
"Saturday, December 30, 2017",$390.1 Million,24,2,28 · 36 · 41 · 51 · 58
"Wednesday, December 27, 2017",$337 Million,03,3,03 · 09 · 16 · 56 · 60
"Saturday, December 23, 2017",$300 Million,25,2,01 · 03 · 13 · 15 · 44
"Wednesday, December 20, 2017",$269 Million,20,2,01 · 20 · 61 · 64 · 69
"Saturday, December 16, 2017",$250 Million,11,2,09 · 35 · 37 · 50 · 63
"Wednesday, December 13, 2017",$229 Million,07,3,02 · 24 · 28 · 51 · 58
"Saturday, December 9, 2017",$212 Million,06,5,25 · 36 · 37 · 55 · 60
"Wednesday, December 6, 2017",$193 Million,09,2,19 · 20 · 50 · 55 · 62
"Saturday, December 2, 2017",$177 Million,06,3,28 · 30 · 32 · 36 · 58
"Wednesday, November 29, 2017",$163 Million,16,3,24 · 26 · 28 · 59 · 63
"Saturday, November 25, 2017",$149 Million,04,2,08 · 13 · 27 · 53 · 54
"Wednesday, November 22, 2017",$134 Million,13,2,35 · 37 · 46 · 51 · 61
"Saturday, November 18, 2017",$119 Million,26,3,17 · 28 · 31 · 32 · 39
"Wednesday, November 15, 2017",$103 Million,25,2,23 · 32 · 44 · 48 · 50
"Saturday, November 11, 2017",$90 Million,18,2,04 · 06 · 16 · 30 · 56
"Wednesday, May 9, 2018",$233 Million,19,2,11 · 16 · 38 · 50 · 69
"Saturday, May 5, 2018",$215 Million,17,4,14 · 29 · 36 · 57 · 61
"Wednesday, May 2, 2018",$195 Million,06,2,05 · 14 · 31 · 40 · 50
"Saturday, April 28, 2018",$177 Million,08,5,20 · 22 · 28 · 45 · 50
"Wednesday, April 25, 2018",$158 Million,12,3,17 · 18 · 39 · 56 · 64
"Saturday, April 21, 2018",$142 Million,19,2,40 · 50 · 54 · 62 · 69
"Wednesday, April 18, 2018",$122 Million,09,2,09 · 10 · 12 · 17 · 23
"Saturday, April 14, 2018",$106 Million,15,2,17 · 19 · 26 · 61 · 62
"Wednesday, April 11, 2018",$89 Million,18,3,16 · 18 · 27 · 55 · 67
"Saturday, April 7, 2018",$74 Million,20,2,02 · 17 · 20 · 38 · 39
"Wednesday, April 4, 2018",$60 Million,24,4,08 · 24 · 42 · 54 · 64
"Saturday, March 31, 2018",$50 Million,21,3,08 · 24 · 52 · 55 · 61
"Wednesday, March 28, 2018",$40 Million,21,2,06 · 08 · 26 · 52 · 53
"Saturday, March 24, 2018",$55.9 Million,24,3,10 · 33 · 45 · 53 · 56
"Wednesday, March 21, 2018",$40 Million,25,2,03 · 04 · 18 · 29 · 61
"Saturday, March 17, 2018",$456.7 Million,07,2,22 · 57 · 59 · 60 · 66
"Wednesday, March 14, 2018",$417.3 Million,09,3,06 · 12 · 24 · 41 · 68
"Saturday, March 10, 2018",$380.6 Million,22,3,43 · 44 · 54 · 61 · 69
"Wednesday, March 7, 2018",$346.3 Million,18,2,06 · 13 · 19 · 36 · 51
"Saturday, March 3, 2018",$321 Million,05,2,13 · 17 · 25 · 36 · 40
"Wednesday, February 28, 2018",$293 Million,16,5,12 · 30 · 59 · 65 · 69
"Saturday, February 24, 2018",$269 Million,06,2,24 · 25 · 38 · 62 · 63
"Wednesday, February 21, 2018",$246 Million,08,3,07 · 15 · 31 · 34 · 36
"Saturday, February 17, 2018",$223 Million,02,3,13 · 26 · 39 · 44 · 62
"Wednesday, February 14, 2018",$203 Million,26,2,37 · 39 · 44 · 46 · 69
"Saturday, February 10, 2018",$184 Million,20,5,01 · 13 · 27 · 41 · 59
"Wednesday, November 17, 2010",$35 Million,05,3,14 · 16 · 53 · 54 · 59
"Saturday, November 13, 2010",$25 Million,29,5,17 · 30 · 48 · 51 · 54
"Wednesday, November 10, 2010",$20 Million,10,4,05 · 08 · 11 · 40 · 44
"Saturday, November 6, 2010",$123 Million,33,4,07 · 12 · 23 · 34 · 38
"Wednesday, November 3, 2010",$104 Million,33,2,34 · 38 · 39 · 45 · 50
"Saturday, October 30, 2010",$87 Million,39,5,01 · 07 · 27 · 36 · 49
"Wednesday, October 27, 2010",$72 Million,15,5,20 · 24 · 25 · 53 · 59
"Saturday, October 23, 2010",$59 Million,34,4,02 · 07 · 16 · 20 · 46
"Wednesday, October 20, 2010",$46 Million,17,3,07 · 17 · 20 · 39 · 59
