ca_amt1,ca_amt2,ca_amt3,ca_amt4,ca_amt5,ca_amt6,ca_amt7,ca_amt8,ca_amt_tot,ca_num1,ca_num2,ca_num3,ca_num4,ca_num5,ca_num6,ca_num7,ca_num8,ca_num_tot,ca_type1,ca_type2,ca_type3,ca_type4,ca_type5,ca_type6,ca_type7,ca_type8,detail_date,j_amt,j_num,j_type,j_winner,s_winner,state_amt1,state_amt2,state_amt3,state_amt4,state_amt5,state_amt6,state_amt7,state_amt8,state_amt_tot,state_num1,state_num2,state_num3,state_num4,state_num5,state_num6,state_num7,state_num8,state_num_tot,state_type1,state_type2,state_type3,state_type4,state_type5,state_type6,state_type7,state_type8
"$487,222","$45,007","$22,448","$23,270","$24,584","$24,489","$104,325","$201,176","$932,521",1,1,61,130,"3,512","2,721","20,865","50,294","77,585",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, February 10, 2018",$0,0,5 + 1 (Jackpot), ," 1 from California, 1 from Florida (with Power Play), 1 from Texas","$1,000,000","$1,000,000","$32,100","$80,100","$119,413","$152,614","$526,908","$1,244,880","$9,651,015",1,20,321,801,"17,059","21,802","131,727","311,220","616,549",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
"$293,285","$23,290","$7,866","$12,305","$26,019","$14,112","$47,588","$96,100","$520,565",1,1,69,107,"3,717","1,764","11,897","24,025","41,581",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, February 14, 2015",$0,0,5 + 1 (Jackpot), ," 1 from California, 1 from Florida (with Power Play)",$0,"$120,000","$42,600","$67,100","$87,619","$173,621","$340,208","$695,828","$4,360,846",0,12,426,671,"12,517","24,803","85,052","173,957","377,351",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$22,710","$7,680","$11,988","$25,473","$14,328","$47,132","$96,616","$225,927",0,2,64,111,"3,639","1,791","11,783","24,154","41,544",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, May 16, 2015",$0,0,5 + 1 (Jackpot), ," 1 from Iowa, 1 from Maryland, 1 from Pennsylvania, 1 from Texas","$4,000,000","$180,000","$53,700","$82,900","$97,923","$198,884","$362,584","$744,356","$6,614,353",4,18,537,829,"13,989","28,412","90,646","186,089","404,932",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$17,019","$5,775","$9,021","$18,636","$9,720","$29,964","$76,036","$166,171",0,3,55,93,"3,106","1,620","9,988","19,009","33,874",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, August 15, 2015",$0,0,5 + 1 (Jackpot), ," 1 from Iowa, 1 from Louisiana (with Power Play), 1 from New Jersey","$2,000,000","$120,000","$48,600","$79,000","$93,408","$185,493","$325,656","$630,704","$7,107,045",2,12,486,790,"13,344","26,499","81,414","157,676","360,524",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$43,112","$11,452","$11,872","$13,200","$11,736","$58,400","$86,115","$235,887",0,2,28,53,"1,650","1,467","11,680","28,705","43,585",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, November 14, 2015",$0,0,5 + 1 (Jackpot), , ,$0,"$550,000","$20,400","$53,100","$81,977","$91,119","$378,472","$937,300","$3,830,456",0,11,204,531,"11,711","13,017","94,618","234,325","461,910",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
"$1,599,957","$49,243","$24,598","$25,576","$25,700","$26,720","$119,235","$214,736","$2,085,765",1,1,98,184,"5,140","3,340","23,847","53,684","86,295",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, February 13, 2016",$0,0,5 + 1 (Jackpot), ," 1 from California, 1 from New York, 1 from Pennsylvania, 1 from Puerto Rico","$3,000,000","$1,050,000","$62,400","$122,900","$151,515","$223,825","$604,048","$1,338,780","$8,420,420",3,21,624,"1,229","21,645","31,975","151,012","334,695","688,261",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$28,506","$14,250","$14,744","$16,040","$15,552","$59,264","$110,010","$258,366",0,1,38,76,"2,005","1,944","14,816","36,670","55,550",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, May 14, 2016",$0,0,5 + 1 (Jackpot), ," 1 from Minnesota, 1 from Missouri","$2,000,000","$450,000","$21,500","$54,600","$86,632","$93,877","$401,724","$1,012,748","$5,977,382",2,9,215,546,"12,376","13,411","100,431","253,187","497,753",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$31,993","$15,995","$16,564","$18,711","$17,316","$74,120","$122,700","$297,399",0,1,35,82,"2,079","1,924","14,824","40,900","59,845",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, August 13, 2016",$0,0,5 + 1 (Jackpot), , 1 from Georgia,"$1,000,000","$400,000","$24,600","$60,300","$91,077","$105,987","$410,032","$1,154,072","$4,394,854",1,8,246,603,"13,011","15,141","102,508","288,518","539,565",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$56,536","$28,227","$29,200","$30,132","$29,792","$133,700","$251,732","$559,319",0,4,97,200,"5,022","3,724","26,740","62,933","98,720",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, November 12, 2016",$0,0,5 + 1 (Jackpot), ," 1 from Florida, 1 from New York, 1 from Pennsylvania","$3,000,000","$1,050,000","$56,500","$129,500","$174,818","$243,908","$718,636","$1,645,576","$8,912,104",3,21,565,"1,295","24,974","34,844","179,659","411,394","805,074",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
$0,"$75,388","$37,630","$38,957","$38,742","$39,968","$185,555","$344,220","$760,460",0,4,106,239,"6,457","4,996","37,111","86,055","134,968",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1,"Saturday, February 11, 2017",$0,0,5 + 1 (Jackpot), ," 1 from Missouri, 4 from Puerto Rico (4 with Power Play)","$1,000,000","$950,000","$58,900","$146,900","$209,587","$263,767","$870,944","$2,010,012","$15,318,514",1,19,589,"1,469","29,941","37,681","217,736","502,503","968,554",5 + 0,4 + 1,4 + 0,3 + 1,3 + 0,2 + 1,1 + 1,0 + 1
