date,jackpot_winner,second winner,,,,,,,,jackpot_winner,jnum_1,jwinner_1,jnum_2,jwinner_2,jnum_3,jwinner_3,jnum_4,jwinner_4,j_amt_col,j_num_col
9/6/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/13/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/20/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
9/27/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/4/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/11/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/18/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
10/25/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/1/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/8/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/15/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/22/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
11/29/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/6/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/13/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/20/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
12/27/96,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/3/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/10/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/17/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/24/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
1/31/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/7/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/14/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/21/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
2/28/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/7/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/14/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/21/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
3/28/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/4/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/11/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/18/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
4/25/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/2/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/9/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/16/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/23/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
5/30/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/6/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/13/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/20/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
6/27/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/4/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
7/11/97,[''],[''],,,,,,,,[''],,,,,,,,,0,0
