date,j_amt_col,j_num_col,jackpot_winner,second winner
1996-09-06,0,0,[''],['']
1996-09-13,0,0,[''],['']
1996-09-20,0,0,[''],['']
1996-09-27,0,0,[''],['']
1996-10-04,0,0,[''],['']
1996-10-11,0,0,[''],['']
1996-10-18,0,0,[''],['']
1996-10-25,0,0,[''],['']
1996-11-01,0,0,[''],['']
1996-11-08,0,0,[''],['']
1996-11-15,0,0,[''],['']
1996-11-22,0,0,[''],['']
1996-11-29,0,0,[''],['']
1996-12-06,0,0,[''],['']
1996-12-13,0,0,[''],['']
1996-12-20,0,0,[''],['']
1996-12-27,0,0,[''],['']
1997-01-03,0,0,[''],['']
1997-01-10,0,0,[''],['']
1997-01-17,0,0,[''],['']
1997-01-24,0,0,[''],['']
1997-01-31,0,0,[''],['']
1997-02-07,0,0,[''],['']
1997-02-14,0,0,[''],['']
1997-02-21,0,0,[''],['']
1997-02-28,0,0,[''],['']
1997-03-07,0,0,[''],['']
1997-03-14,0,0,[''],['']
1997-03-21,0,0,[''],['']
1997-03-28,0,0,[''],['']
1997-04-04,0,0,[''],['']
1997-04-11,0,0,[''],['']
1997-04-18,0,0,[''],['']
1997-04-25,0,0,[''],['']
1997-05-02,0,0,[''],['']
1997-05-09,0,0,[''],['']
1997-05-16,0,0,[''],['']
1997-05-23,0,0,[''],['']
1997-05-30,0,0,[''],['']
1997-06-06,0,0,[''],['']
1997-06-13,0,0,[''],['']
1997-06-20,0,0,[''],['']
1997-06-27,0,0,[''],['']
1997-07-04,0,0,[''],['']
1997-07-11,0,0,[''],['']
1997-07-18,0,0,[''],['']
1997-07-25,0,0,[''],['']
1997-08-01,0,0,[''],['']
1997-08-08,0,0,[''],['']
1997-08-15,0,0,[''],['']
1997-08-22,0,0,[''],['']
1997-08-29,0,0,[''],['']
1997-09-05,0,0,[''],['']
1997-09-12,0,0,[''],['']
1997-09-19,0,0,[''],['']
1997-09-26,0,0,[''],['']
1997-10-03,0,0,[''],['']
1997-10-10,0,0,[''],['']
1997-10-17,0,0,[''],['']
1997-10-24,0,0,[''],['']
1997-10-31,0,0,[''],['']
1997-11-07,0,0,[''],['']
1997-11-14,0,0,[''],['']
1997-11-21,0,0,[''],['']
1997-11-28,0,0,[''],['']
1997-12-05,0,0,[''],['']
1997-12-12,0,0,[''],['']
1997-12-19,0,0,[''],['']
1997-12-26,0,0,[''],['']
1998-01-02,0,0,[''],['']
1998-01-09,0,0,[''],['']
1998-01-16,0,0,[''],['']
1998-01-23,0,0,[''],['']
1998-01-30,0,0,[''],['']
1998-02-06,0,0,[''],['']
1998-02-10,0,0,[''],['']
1998-02-13,0,0,[''],['']
1998-02-17,0,0,[''],['']
1998-02-20,0,0,[''],['']
1998-02-24,0,0,[''],['']
1998-02-27,0,0,[''],['']
1998-03-03,0,0,[''],['']
1998-03-06,0,0,[''],['']
1998-03-10,0,0,[''],['']
1998-03-13,0,0,[''],['']
1998-03-17,0,0,[''],['']
1998-03-20,0,0,[''],['']
1998-03-24,0,0,[''],['']
